TransactionID,Amount,TransactionType,AccountAge,CustomerLocation,DeviceType,TimeOfTransaction,DayOfWeek,TransactionSpeed,NumberOfLogins,CardType,MerchantCategory,Country,IsWeekend,Fraud
45,1294.64,POS,98,Urban,Mobile,22,Friday,8.614567590345356,3,Credit,Electronics,Australia,0,0
46,3312.95,ATM,97,Suburban,Tablet,6,Friday,40.467800457663735,6,Prepaid,Electronics,Germany,0,0
47,1559.24,POS,114,Suburban,Desktop,9,Friday,23.533086158694072,1,Debit,Others,Australia,0,0
48,2600.82,POS,24,Suburban,Tablet,4,Sunday,24.047286077780683,7,Prepaid,Electronics,USA,0,0
49,2734.0,BankTransfer,73,Suburban,Desktop,14,Sunday,45.916882763807514,8,Prepaid,Clothing,UK,1,0
50,925.09,POS,13,Rural,Mobile,11,Monday,30.017781836957546,7,Debit,Electronics,UK,0,0
51,4847.95,BankTransfer,2,Urban,Mobile,9,Thursday,43.566762272267596,3,Prepaid,Clothing,USA,0,0
52,3875.89,ATM,71,Suburban,Desktop,21,Sunday,30.360954602290878,6,Credit,Others,USA,0,0
53,4697.56,POS,112,Urban,Mobile,16,Saturday,35.61502995017528,4,Debit,Others,Germany,0,0
54,4474.24,POS,21,Rural,Tablet,19,Friday,45.66680620939288,5,Prepaid,Electronics,Australia,1,0
55,2989.9,Online,19,Urban,Desktop,19,Sunday,36.47779370098439,3,Credit,Clothing,USA,0,0
56,4609.45,POS,89,Urban,Mobile,10,Wednesday,36.97534505238844,5,Debit,Clothing,USA,0,0
57,443.37,POS,47,Suburban,Tablet,7,Tuesday,47.37425352651291,6,Prepaid,Clothing,Australia,0,0
58,980.72,Online,22,Suburban,Tablet,14,Saturday,56.95030026758046,8,Debit,Clothing,USA,0,0
59,227.09,Online,75,Rural,Mobile,1,Tuesday,22.665297620726673,6,Credit,Groceries,Germany,0,0
60,1627.33,ATM,33,Urban,Mobile,16,Tuesday,34.66931771783448,9,Credit,Others,Germany,1,0
61,1944.0,POS,32,Suburban,Tablet,22,Monday,5.267762148239381,4,Debit,Clothing,Australia,0,0
62,1357.47,ATM,64,Suburban,Desktop,5,Wednesday,21.59235244607513,2,Credit,Groceries,Canada,0,0
63,4143.86,ATM,85,Suburban,Mobile,20,Wednesday,24.78174863077422,9,Credit,Groceries,Germany,1,0
64,1784.41,Online,39,Rural,Mobile,12,Saturday,50.13071527776066,3,Debit,Others,UK,0,0
65,1405.39,BankTransfer,84,Urban,Desktop,7,Wednesday,30.852204887328043,7,Debit,Entertainment,UK,1,0
66,2713.94,ATM,72,Suburban,Desktop,10,Wednesday,43.89087576057762,4,Prepaid,Electronics,Canada,1,0
67,705.48,BankTransfer,42,Urban,Mobile,14,Wednesday,1.2385432615377145,1,Prepaid,Others,Germany,1,0
68,4011.18,POS,101,Rural,Desktop,12,Saturday,27.923110910736106,8,Debit,Entertainment,USA,1,0
69,373.68,Online,9,Urban,Tablet,17,Thursday,54.088928143298695,4,Credit,Electronics,Canada,1,0
70,4934.45,POS,25,Suburban,Tablet,17,Wednesday,13.536403167416527,6,Credit,Electronics,USA,1,0
71,3861.45,POS,89,Urban,Tablet,16,Sunday,1.9881788998960643,7,Debit,Electronics,UK,0,0
72,994.38,Online,97,Urban,Mobile,21,Wednesday,26.06118314943724,8,Debit,Groceries,Canada,1,0
73,28.61,POS,2,Rural,Desktop,12,Monday,42.295466056790964,2,Debit,Clothing,Germany,0,0
74,4077.49,Online,19,Rural,Tablet,2,Monday,27.322364059804023,9,Credit,Electronics,UK,1,0
75,3534.58,BankTransfer,110,Urban,Desktop,20,Sunday,27.652700979324823,3,Prepaid,Clothing,Germany,0,0
76,3645.31,POS,20,Urban,Tablet,23,Wednesday,40.22132197017534,1,Prepaid,Electronics,USA,1,0
77,3856.58,Online,106,Urban,Desktop,6,Thursday,15.337889616154634,2,Credit,Groceries,Germany,0,0
78,371.15,ATM,105,Rural,Tablet,11,Wednesday,45.13819851935445,8,Prepaid,Electronics,Canada,1,0
79,1792.97,POS,106,Rural,Tablet,3,Sunday,9.271500501253431,6,Debit,Others,USA,0,0
80,580.23,BankTransfer,93,Urban,Tablet,23,Wednesday,23.805461256630664,1,Debit,Entertainment,Canada,0,0
81,4315.65,Online,70,Rural,Tablet,10,Wednesday,39.394885697407986,9,Credit,Electronics,USA,0,0
82,3116.87,POS,17,Suburban,Tablet,13,Friday,49.71930353308884,7,Credit,Entertainment,Canada,1,0
83,1655.16,POS,89,Rural,Tablet,17,Thursday,47.512711162786815,3,Debit,Entertainment,UK,0,0
84,318.73,POS,102,Rural,Tablet,6,Tuesday,43.3289673985311,7,Debit,Groceries,Canada,1,1
85,1555.6,BankTransfer,68,Rural,Tablet,4,Sunday,21.609873373829824,6,Credit,Entertainment,UK,0,1
86,1626.59,Online,94,Suburban,Tablet,15,Wednesday,7.426028545994058,3,Credit,Groceries,Australia,1,0
87,3648.3,ATM,84,Suburban,Desktop,10,Sunday,13.088369639810137,8,Debit,Electronics,Germany,1,0
88,3188.15,ATM,3,Suburban,Desktop,21,Tuesday,51.90354549313145,1,Debit,Clothing,USA,0,1
89,4436.18,ATM,87,Urban,Mobile,2,Thursday,51.4541490709463,5,Prepaid,Groceries,Germany,0,0
90,2361.6,Online,51,Urban,Tablet,15,Sunday,57.09849506708704,8,Prepaid,Entertainment,UK,1,0
91,598.85,ATM,82,Suburban,Desktop,10,Wednesday,4.651720248542942,3,Debit,Entertainment,UK,1,0
92,3566.51,BankTransfer,26,Urban,Desktop,9,Tuesday,32.25486420811962,6,Credit,Electronics,UK,1,0
93,3804.16,Online,56,Urban,Desktop,22,Sunday,38.95611438976359,2,Prepaid,Groceries,Canada,0,0
94,2806.82,POS,100,Urban,Desktop,22,Saturday,42.66837688630471,9,Prepaid,Electronics,Germany,0,0
95,3855.06,BankTransfer,64,Suburban,Desktop,1,Tuesday,38.66740777712477,2,Debit,Groceries,UK,0,0
96,2469.48,POS,8,Rural,Desktop,15,Thursday,46.22368225514669,5,Credit,Clothing,Australia,0,0
97,2614.14,ATM,81,Suburban,Mobile,16,Wednesday,21.63234741973156,3,Credit,Others,UK,0,0
98,2138.28,BankTransfer,95,Suburban,Desktop,9,Friday,10.84802305091538,9,Debit,Electronics,Germany,0,0
99,128.07,Online,37,Urban,Mobile,17,Thursday,12.354543991811267,9,Credit,Entertainment,UK,0,0
100,540.35,BankTransfer,109,Urban,Mobile,11,Friday,0.8175234992628438,7,Debit,Electronics,UK,1,0
101,158.11,POS,97,Rural,Tablet,7,Wednesday,21.08428013916272,5,Credit,Groceries,USA,1,0
102,3182.42,Online,27,Rural,Tablet,2,Tuesday,5.595468647710638,9,Debit,Electronics,UK,0,0
103,1572.47,BankTransfer,45,Rural,Tablet,19,Saturday,19.357172698132434,7,Credit,Clothing,Germany,0,0
104,2543.34,BankTransfer,4,Rural,Desktop,23,Saturday,37.72978362225824,2,Debit,Groceries,USA,0,1
105,4537.92,BankTransfer,86,Suburban,Tablet,2,Sunday,53.67923552965051,1,Debit,Entertainment,USA,1,0
106,1247.21,BankTransfer,90,Rural,Desktop,5,Thursday,50.39236651433193,4,Credit,Entertainment,UK,1,0
107,2052.5,Online,96,Suburban,Desktop,1,Thursday,15.235185296258855,8,Debit,Groceries,UK,0,0
108,3778.0,POS,88,Urban,Tablet,2,Thursday,8.131580217663013,6,Prepaid,Clothing,Australia,1,0
109,1144.76,BankTransfer,110,Rural,Tablet,16,Monday,11.665029200424204,2,Credit,Electronics,Germany,0,0
110,385.82,Online,99,Urban,Mobile,8,Saturday,58.26210044902605,5,Debit,Others,Germany,1,0
111,1449.47,POS,37,Urban,Mobile,3,Saturday,33.0135213331609,9,Credit,Entertainment,Canada,0,0
112,806.95,BankTransfer,96,Suburban,Desktop,21,Wednesday,11.031883157734432,6,Credit,Clothing,Canada,1,0
113,4648.56,POS,71,Rural,Desktop,22,Monday,50.46069466574023,6,Debit,Clothing,Germany,0,0
114,4040.79,POS,33,Suburban,Tablet,1,Thursday,23.77195553432204,7,Prepaid,Clothing,UK,1,0
115,3167.39,Online,31,Urban,Tablet,23,Thursday,53.96340690328617,5,Credit,Electronics,USA,1,0
116,4357.43,POS,55,Rural,Mobile,8,Friday,15.714559897385742,3,Prepaid,Clothing,Australia,0,0
117,4018.56,Online,12,Urban,Tablet,13,Sunday,23.653983352373746,3,Prepaid,Clothing,UK,0,0
118,933.66,BankTransfer,11,Urban,Desktop,10,Monday,30.346370991126065,5,Debit,Groceries,USA,0,0
119,4462.9,POS,88,Rural,Tablet,1,Sunday,53.56765851193299,4,Debit,Groceries,Germany,1,0
120,2697.17,POS,72,Rural,Mobile,20,Tuesday,52.138570153142844,5,Credit,Clothing,UK,0,0
121,4037.39,ATM,32,Rural,Desktop,1,Sunday,34.50386871120229,9,Debit,Clothing,Australia,0,0
122,4480.56,BankTransfer,57,Suburban,Mobile,4,Saturday,13.38435303587535,5,Credit,Groceries,Canada,0,0
123,1590.7,BankTransfer,38,Suburban,Mobile,6,Wednesday,24.261082607098718,4,Credit,Electronics,USA,0,0
124,551.15,ATM,60,Urban,Desktop,21,Tuesday,58.54042061539378,4,Prepaid,Groceries,UK,1,0
125,1140.45,ATM,86,Rural,Mobile,3,Tuesday,36.50561611025638,1,Debit,Groceries,Australia,0,0
126,2136.11,Online,98,Urban,Tablet,13,Wednesday,46.88775553193938,4,Debit,Groceries,UK,0,0
127,4090.26,Online,19,Urban,Tablet,1,Thursday,27.046895252149042,4,Credit,Groceries,Germany,1,0
128,4303.79,POS,116,Urban,Mobile,22,Saturday,31.9672358004617,9,Prepaid,Others,USA,0,0
129,35.75,POS,84,Urban,Tablet,11,Friday,25.79435132272939,4,Debit,Entertainment,Germany,0,0
130,2554.23,POS,56,Urban,Mobile,9,Thursday,42.20496778391188,7,Prepaid,Electronics,Germany,0,0
131,2087.64,POS,14,Rural,Tablet,0,Sunday,51.10311373182396,1,Prepaid,Electronics,Canada,0,0
132,1111.32,Online,33,Suburban,Mobile,18,Thursday,30.491076239151358,7,Credit,Clothing,Germany,0,0
133,600.21,BankTransfer,10,Rural,Tablet,22,Monday,28.903960772309922,2,Debit,Others,Australia,0,0
134,1688.74,POS,80,Rural,Desktop,15,Tuesday,20.483159379193978,8,Debit,Clothing,USA,0,0
135,4714.61,BankTransfer,64,Rural,Desktop,14,Tuesday,10.70809198821562,1,Debit,Electronics,Canada,1,0
136,1616.69,POS,64,Suburban,Tablet,13,Saturday,56.36093860021902,3,Prepaid,Electronics,UK,1,0
137,2594.43,ATM,62,Suburban,Mobile,8,Sunday,19.03317514890235,8,Debit,Clothing,Germany,0,0
138,3515.39,POS,68,Suburban,Tablet,20,Tuesday,48.0614186680997,8,Credit,Entertainment,UK,0,0
139,1818.78,POS,91,Rural,Mobile,22,Friday,42.94928657511971,5,Prepaid,Clothing,Canada,1,0
140,4858.94,POS,92,Suburban,Tablet,14,Friday,47.475964256659935,5,Debit,Entertainment,UK,0,1
141,4812.27,Online,43,Urban,Tablet,6,Sunday,56.21241118898894,8,Prepaid,Entertainment,Australia,1,0
142,1259.66,ATM,80,Suburban,Desktop,3,Friday,37.439908537231744,5,Prepaid,Groceries,Canada,1,0
143,2486.75,POS,59,Rural,Mobile,20,Wednesday,53.88722556858447,9,Prepaid,Electronics,USA,0,0
144,1505.09,POS,52,Rural,Mobile,17,Sunday,10.14506964244639,1,Credit,Groceries,USA,1,0
145,1424.92,BankTransfer,97,Urban,Mobile,7,Saturday,37.64008329981158,5,Debit,Electronics,USA,1,0
146,185.4,ATM,112,Suburban,Mobile,11,Friday,46.3593092135853,3,Debit,Groceries,USA,0,0
147,3048.21,POS,19,Suburban,Mobile,14,Monday,16.371303731576027,3,Prepaid,Entertainment,Canada,0,0
148,2513.89,BankTransfer,21,Urban,Desktop,14,Monday,44.4711526973887,2,Debit,Groceries,Canada,0,0
149,258.34,BankTransfer,22,Rural,Tablet,16,Thursday,46.73076206406259,3,Prepaid,Others,Canada,0,0
150,1393.95,Online,9,Rural,Mobile,1,Thursday,49.88815856538504,7,Prepaid,Groceries,Germany,0,0
151,4541.42,BankTransfer,9,Suburban,Mobile,11,Saturday,18.841686464496377,8,Prepaid,Groceries,Canada,0,0
152,1198.57,POS,73,Suburban,Tablet,2,Sunday,40.92823475108172,8,Credit,Groceries,Canada,0,0
153,725.33,Online,27,Suburban,Desktop,6,Thursday,18.32477167624475,8,Debit,Others,Canada,0,0
154,2447.77,Online,17,Suburban,Desktop,5,Thursday,44.368519211157476,1,Prepaid,Electronics,USA,0,0
155,4928.27,POS,44,Suburban,Desktop,13,Monday,27.832122542228166,7,Debit,Groceries,Australia,0,0
156,1211.03,ATM,45,Rural,Tablet,22,Thursday,35.89290803418048,2,Credit,Electronics,USA,0,0
157,3361.01,BankTransfer,8,Rural,Tablet,4,Monday,25.008814887691077,4,Credit,Clothing,Australia,1,0
158,3808.34,Online,80,Rural,Desktop,3,Friday,9.802777323096475,5,Prepaid,Entertainment,Australia,1,0
159,1188.95,ATM,18,Rural,Desktop,14,Friday,10.763968823361283,1,Credit,Clothing,Australia,1,0
160,3641.35,POS,33,Urban,Tablet,6,Saturday,4.746377545001856,4,Credit,Others,USA,0,0
161,1839.55,BankTransfer,1,Rural,Desktop,2,Wednesday,37.122553515327546,4,Credit,Others,Germany,0,0
162,3161.9,BankTransfer,76,Urban,Mobile,12,Thursday,50.93344003738825,9,Credit,Electronics,UK,1,0
163,3168.02,Online,6,Rural,Tablet,9,Friday,1.3481258930986486,9,Credit,Electronics,Germany,1,0
164,2679.34,BankTransfer,41,Suburban,Desktop,22,Friday,4.067746175092374,1,Credit,Groceries,USA,1,0
165,452.36,BankTransfer,55,Suburban,Mobile,1,Sunday,27.50227283894433,8,Debit,Clothing,Australia,1,0
166,4176.68,BankTransfer,5,Suburban,Tablet,11,Saturday,44.28947209647454,4,Credit,Electronics,UK,1,1
167,1604.58,BankTransfer,59,Urban,Tablet,23,Tuesday,9.546687918245883,4,Debit,Electronics,Germany,1,0
168,933.41,POS,80,Rural,Mobile,21,Tuesday,16.371914040996714,5,Prepaid,Electronics,Canada,0,0
169,204.83,ATM,18,Rural,Tablet,11,Saturday,13.997171456780247,2,Credit,Entertainment,Germany,1,0
170,2954.87,POS,49,Urban,Desktop,18,Monday,24.003167998402134,1,Credit,Electronics,USA,1,0
171,3388.14,POS,82,Urban,Tablet,18,Wednesday,13.577420753352511,5,Debit,Entertainment,UK,0,0
172,83.92,Online,65,Urban,Desktop,20,Sunday,21.220660844830707,7,Credit,Others,Canada,0,0
173,2560.95,BankTransfer,83,Urban,Mobile,2,Sunday,43.73970165985045,9,Debit,Groceries,UK,1,0
174,1133.25,POS,54,Urban,Mobile,5,Saturday,36.69945398240593,2,Debit,Clothing,UK,0,1
175,3226.22,BankTransfer,61,Suburban,Tablet,1,Tuesday,4.962784152962404,8,Credit,Electronics,Germany,1,0
176,872.66,POS,8,Rural,Mobile,23,Wednesday,38.30096540811849,7,Prepaid,Entertainment,Australia,1,0
177,3455.0,POS,3,Urban,Mobile,12,Friday,28.676922576396887,2,Prepaid,Electronics,Germany,0,0
178,1934.29,Online,25,Suburban,Tablet,8,Saturday,56.08047792495761,5,Prepaid,Electronics,Canada,0,0
179,4683.71,ATM,69,Urban,Desktop,12,Monday,17.42932859453279,7,Debit,Entertainment,USA,0,0
180,688.47,ATM,55,Suburban,Tablet,22,Wednesday,43.59736853997968,3,Debit,Electronics,Germany,1,0
181,1705.99,POS,40,Urban,Tablet,13,Tuesday,43.878563300369734,2,Credit,Clothing,Australia,1,0
182,568.25,Online,83,Rural,Desktop,18,Friday,13.367896782450321,6,Debit,Others,Australia,0,0
183,4623.54,BankTransfer,82,Urban,Desktop,10,Saturday,54.20309513575907,6,Prepaid,Groceries,Germany,1,0
184,4386.82,BankTransfer,50,Urban,Desktop,13,Sunday,29.521873705733224,4,Credit,Electronics,Canada,1,0
185,1290.45,POS,117,Rural,Tablet,15,Thursday,40.765113676669216,1,Prepaid,Entertainment,Australia,0,0
186,3300.26,ATM,95,Rural,Desktop,9,Sunday,8.836747977121922,5,Credit,Clothing,Australia,0,0
187,4086.29,Online,33,Urban,Mobile,19,Sunday,15.542454627818957,1,Prepaid,Electronics,Canada,1,0
188,2776.45,ATM,111,Rural,Desktop,15,Friday,35.207816364439644,8,Credit,Others,Canada,1,0
189,2648.72,BankTransfer,18,Rural,Mobile,1,Tuesday,19.209733375563637,2,Prepaid,Others,Canada,0,0
190,1210.02,ATM,57,Suburban,Desktop,15,Saturday,30.031605822401307,9,Debit,Entertainment,Canada,0,0
191,466.42,BankTransfer,103,Rural,Mobile,13,Tuesday,22.502911442460025,9,Prepaid,Electronics,Germany,0,0
192,4486.18,Online,16,Rural,Mobile,20,Thursday,38.469172418978474,3,Credit,Electronics,Germany,0,0
193,4502.19,Online,80,Urban,Mobile,17,Sunday,29.280007230570455,6,Prepaid,Electronics,UK,0,0
194,3165.87,POS,111,Urban,Mobile,5,Friday,0.3761351647927732,9,Debit,Others,UK,1,0
195,1695.81,POS,38,Suburban,Mobile,6,Wednesday,39.0158821929285,7,Credit,Electronics,UK,0,0
196,1746.7,ATM,41,Urban,Desktop,12,Wednesday,25.385081267305885,4,Debit,Electronics,Australia,1,0
197,3630.05,Online,7,Rural,Tablet,1,Friday,20.56773059536435,3,Prepaid,Electronics,Canada,1,0
198,4485.65,Online,78,Rural,Tablet,14,Wednesday,5.73939046176509,2,Credit,Electronics,Germany,1,0
199,4435.55,POS,107,Rural,Tablet,16,Sunday,13.300144464932838,1,Prepaid,Entertainment,Germany,1,0
200,3899.6,BankTransfer,53,Urban,Tablet,12,Saturday,13.50396026569312,1,Credit,Others,Canada,0,0
201,3210.52,ATM,63,Rural,Tablet,6,Friday,56.128633014343265,4,Debit,Groceries,UK,1,0
202,421.62,ATM,112,Rural,Mobile,0,Friday,26.007527187318153,4,Debit,Entertainment,Australia,1,1
203,808.98,POS,89,Suburban,Desktop,2,Tuesday,2.6197442481886855,9,Debit,Electronics,Germany,0,0
204,4492.87,Online,32,Suburban,Mobile,19,Monday,8.415119266374921,1,Prepaid,Groceries,USA,1,1
205,3032.54,POS,38,Suburban,Desktop,17,Tuesday,4.834057276401432,4,Credit,Clothing,Australia,0,0
206,46.98,POS,22,Urban,Desktop,6,Wednesday,35.373276473411956,3,Debit,Groceries,Australia,0,0
207,508.26,POS,16,Rural,Desktop,20,Monday,11.27862734485292,9,Prepaid,Entertainment,UK,0,0
208,3317.85,POS,52,Rural,Desktop,16,Friday,29.963602652878382,5,Prepaid,Others,Canada,1,0
209,26.3,BankTransfer,29,Rural,Tablet,11,Wednesday,22.266717565911538,9,Credit,Entertainment,USA,1,0
210,804.88,BankTransfer,16,Suburban,Desktop,15,Thursday,48.25219499093754,6,Debit,Others,UK,1,0
211,2744.12,Online,76,Rural,Desktop,23,Wednesday,19.297329272195203,9,Prepaid,Others,Canada,1,0
212,3459.78,POS,17,Rural,Tablet,9,Monday,27.550102395568818,1,Debit,Others,USA,1,0
213,3260.15,BankTransfer,101,Rural,Mobile,22,Monday,43.305004361009765,4,Credit,Clothing,Germany,0,0
214,1122.12,Online,64,Rural,Mobile,15,Friday,26.057737295145298,4,Debit,Groceries,USA,0,0
215,3561.18,POS,91,Rural,Mobile,19,Saturday,47.613610607190026,6,Debit,Entertainment,UK,1,0
216,1187.01,ATM,89,Urban,Mobile,17,Thursday,39.73489293857623,1,Prepaid,Entertainment,USA,1,0
217,1627.67,BankTransfer,13,Rural,Desktop,14,Friday,24.69069392540829,5,Prepaid,Others,USA,1,0
218,3732.71,Online,72,Urban,Tablet,22,Thursday,30.288517348613127,3,Credit,Clothing,USA,1,0
219,3248.51,ATM,56,Rural,Tablet,10,Thursday,58.03548700494739,1,Credit,Clothing,Germany,0,0
220,4246.27,POS,5,Urban,Mobile,17,Friday,39.730528640852704,6,Credit,Electronics,Canada,1,0
221,3288.41,POS,12,Rural,Tablet,5,Sunday,54.30921403574226,3,Prepaid,Clothing,USA,1,0
222,2841.97,POS,41,Rural,Desktop,0,Wednesday,10.807634357916754,4,Credit,Others,Australia,1,0
223,469.28,BankTransfer,3,Rural,Mobile,22,Tuesday,29.0458457590846,9,Credit,Others,UK,1,0
224,1839.21,Online,99,Rural,Desktop,6,Thursday,54.52883402371853,2,Prepaid,Groceries,Australia,1,0
225,1326.75,ATM,33,Suburban,Desktop,11,Sunday,19.424462480340917,1,Credit,Others,Canada,0,0
226,1220.7,Online,86,Rural,Desktop,19,Monday,58.063085468970606,6,Prepaid,Groceries,UK,0,0
227,4865.08,BankTransfer,50,Urban,Desktop,3,Friday,5.91494167937208,1,Credit,Clothing,Canada,0,0
228,1966.1,Online,56,Suburban,Desktop,9,Saturday,54.170003099474705,1,Prepaid,Electronics,UK,1,0
229,4460.34,BankTransfer,108,Suburban,Mobile,20,Sunday,26.768206111744938,7,Debit,Entertainment,Australia,1,0
230,3156.06,POS,9,Rural,Desktop,1,Wednesday,4.517275491955523,2,Prepaid,Others,Australia,0,0
231,3974.26,ATM,105,Urban,Mobile,8,Sunday,52.783343395906634,4,Prepaid,Clothing,Germany,0,0
232,2513.68,POS,82,Urban,Tablet,9,Thursday,15.191218723305896,4,Prepaid,Others,Canada,1,0
233,2884.94,Online,50,Suburban,Desktop,19,Saturday,1.4327825171639899,2,Credit,Groceries,Australia,1,0
234,2463.1,POS,29,Urban,Desktop,10,Sunday,8.234845623594618,6,Prepaid,Clothing,UK,0,0
235,977.02,ATM,39,Rural,Tablet,13,Wednesday,39.58097303979572,2,Prepaid,Entertainment,USA,0,0
236,3612.54,POS,91,Rural,Mobile,2,Sunday,58.67090819937787,8,Credit,Groceries,USA,0,0
237,1404.58,ATM,100,Rural,Desktop,0,Friday,6.776582161052656,4,Debit,Clothing,USA,0,0
238,122.56,ATM,45,Rural,Tablet,6,Saturday,27.770688082673242,1,Prepaid,Entertainment,Germany,1,0
239,3227.72,POS,17,Rural,Tablet,3,Monday,10.920129401757196,7,Credit,Groceries,Australia,0,0
240,886.38,BankTransfer,56,Suburban,Desktop,6,Thursday,44.727688392685366,6,Debit,Entertainment,Canada,0,0
241,4702.35,Online,98,Rural,Mobile,15,Thursday,7.171728095732668,6,Prepaid,Clothing,Canada,1,0
242,4769.69,BankTransfer,46,Rural,Mobile,9,Saturday,14.466520734005284,3,Debit,Groceries,Germany,0,0
243,4574.41,BankTransfer,67,Suburban,Desktop,14,Wednesday,11.864717462179375,7,Prepaid,Electronics,UK,1,0
244,1851.42,POS,69,Suburban,Tablet,15,Friday,33.19593484398198,6,Prepaid,Others,Australia,0,0
